# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COGID
166	oIs	black	svartr	79
167	Bkm	black	svart (sort)	79
168	oIr	black	dub	80
169	rIr	black	dubh	80
170	Itn	black	nero	81
171	Lat	black	(niger)	81
172	Lat	black	āter	82
173	Ave	black	(ātar-)	82
174	Alb	black	zi	83
175	Lit	black	(Lv:melns)	84
176	aGr	black	μέλᾱς	84
177	San	black	(meliná)	84
178	rGr	black	μαύρος	85
179	oIr	black	(ciar)	86
180	Arm	black	[se(a)v]	86
181	Ave	black	(syāva )	86
182	San	black	śyāmá	86
183	Hit	black	t/dankui I	87
184	ToB	black	Berkent	88
185	Ave	black	sāmō/a	89
186	San	black	śyāmá	89
187	Hnd	black	[kālā]	90
#
188	Lit	blood	(Lv: asins)	91
189	Lat	blood	(aser)	91
190	aGr	blood	(ἔαρ)	91
191	Arm	blood	aryun	91
192	Hit	blood	ēsḫar-	91
193	ToB	blood	B ysär	91
194	San	blood	ásṛj	91
195	Itn	blood	sangue  (?)	92
196	Lat	blood	sanguis (?)	92
197	Alb	blood	gjak	92
198	Rus	blood	кро-вь	93
199	Lit	blood	krauja-s	93
200	oIs	blood	blóð	94
201	Bkm	blood	blod	94
202	oIr	blood	fuil	95
203	rIr	blood	fuil	95
204	aGr	blood	αἷμα	96
205	rGr	blood	αίμα	96
206	Ave	blood	vohu-tāt/nī	97
207	Hnd	blood	[xūn]	97
208	Hnd	blood	rakt	98
#
209	oIr	bone	(asna)	99
210	rIr	bone	(asil)	99
211	Itn	bone	osso	99
212	Lat	bone	os(su)	99
213	Alb	bone	(asht-)	99
214	aGr	bone	ὀστέον	99
215	rGr	bone	οστό (hwik)	99
216	Arm	bone	(v)oskor	99
217	Hit	bone	ḫastāi	99
218	ToB	bone	AB āy	99
219	Ave	bone	ast-	99
220	San	bone	ásthi	99
221	Hnd	bone	(asthi)	99
222	Rus	bone	кость	100
223	Lat	bone	(costa)	100
224	aGr	bone	(κόκκαλος)?	100
225	rGr	bone	κόκκαλα	100
226	Alb	bone	[kockë]	101
227	Lit	bone	káula-s	102
228	oIs	bone	bein	103
229	Bkm	bone	[ben]	103
230	oIr	bone	cnáim	104
231	rIr	bone	cnámh	104
232	Hnd	bone	haḍḍī	105
#
233	Lit	breasts (fem)	(aPr: spenis)	106
234	oIs	breasts (fem)	(speni)	106
235	oIr	breasts (fem)	(sine)	106
236	Itn	breasts (fem)	( sene)	106
237	Lat	breasts (fem)	(sinus)	106
238	aGr	breasts (fem)	(στῆθος)	106
239	Arm	breasts (fem)	(seldom: st(h)in)	106
240	ToB	breasts (fem)	päś-śäṃA/caneB	106
241	Ave	breasts (fem)	fštāna	106
242	San	breasts (fem)	stána	106
243	Hnd	breasts (fem)	stan	106
244	Rus	breasts (fem)	грудь	107
245	Lit	breasts (fem)	krūtis	108
246	Rus	breasts (fem)	(brjúcho)	109
247	oIs	breasts (fem)	brjóst	109
248	Bkm	breasts (fem)	[bryst]	109
249	oIr	breasts (fem)	( bruinne)	109
250	ToB	breasts (fem)	(St:B pratsāko:?)	109
